FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Housing Units:,Housing Units: Occupied,Housing Units: Vacant,Vacant Housing Units:,Vacant Housing Units: for Rent,Vacant Housing Units: for Sale Only,Vacant Housing Units: Other Vacant,Occupied Housing Units,Occupied Housing Units: Built 2014 or Later,Occupied Housing Units: Built 2010 to 2013,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Gross Rent
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,SE_A18009_001
4.2101E+11,"Block Group 3, Census Tract 91, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 91, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16739,,,,,42,101,,,,9100,3,15000US421010091003,,,105440,0,840,758,82,82,7,0,75,758,36,0,0,124,120,207,28,15,17,211,305
4.2101E+11,"Block Group 1, Census Tract 92, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 92, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16740,,,,,42,101,,,,9200,1,15000US421010092001,,,356785,0,845,763,82,82,32,0,50,763,0,20,27,73,42,95,291,73,53,89,226
4.2101E+11,"Block Group 2, Census Tract 92, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 92, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16741,,,,,42,101,,,,9200,2,15000US421010092002,,,155224,0,742,526,216,216,52,0,164,526,5,16,18,69,11,35,40,26,36,270,1002
4.2101E+11,"Block Group 1, Census Tract 93, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 93, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16742,,,,,42,101,,,,9300,1,15000US421010093001,,,52991,0,199,181,18,18,0,0,18,181,0,0,0,5,0,0,0,0,38,138,578
4.2101E+11,"Block Group 2, Census Tract 93, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 93, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16743,,,,,42,101,,,,9300,2,15000US421010093002,,,71294,0,509,407,102,102,30,0,72,407,26,0,0,28,0,0,94,0,18,241,656
4.2101E+11,"Block Group 3, Census Tract 93, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 93, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16744,,,,,42,101,,,,9300,3,15000US421010093003,,,82818,0,386,247,139,139,37,0,102,247,0,0,0,0,0,0,61,0,20,166,918
4.2101E+11,"Block Group 4, Census Tract 93, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 93, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16745,,,,,42,101,,,,9300,4,15000US421010093004,,,78062,0,463,345,118,118,21,28,69,345,0,0,0,0,0,0,0,0,0,345,
4.2101E+11,"Block Group 5, Census Tract 93, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 93, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16746,,,,,42,101,,,,9300,5,15000US421010093005,,,117310,0,799,485,314,314,37,20,257,485,0,0,0,0,0,0,43,23,124,295,889
4.2101E+11,"Block Group 1, Census Tract 94, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 94, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16747,,,,,42,101,,,,9400,1,15000US421010094001,,,58409,0,335,335,0,0,0,0,0,335,0,13,12,12,7,32,14,125,14,106,
4.2101E+11,"Block Group 2, Census Tract 94, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 94, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16748,,,,,42,101,,,,9400,2,15000US421010094002,,,130863,0,599,544,55,55,33,0,22,544,0,0,0,77,0,31,50,86,50,250,527
